                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.48294,                0.38376,                0.89614,                0.98868,                      1,                  0.995,                0.87504,                0.53873,                 0.4036,                  0.897,              0.0008648,              0.0008648,              0.0008648
                     88,                0.51611,                0.40305,                0.89719,                0.98958,                      1,                  0.995,                0.91186,                0.52916,                0.39122,                0.88928,              0.0008516,              0.0008516,              0.0008516
                     89,                0.51318,                0.39999,                 0.9168,                0.99177,                      1,                  0.995,                0.89156,                0.54014,                0.37475,                0.89241,              0.0008384,              0.0008384,              0.0008384
                     90,                0.54046,                0.39714,                0.91092,                0.99565,                      1,                  0.995,                  0.877,                0.53793,                  0.368,                 0.8885,              0.0008252,              0.0008252,              0.0008252
                     91,                0.52875,                 0.4022,                0.89771,                0.99605,                      1,                  0.995,                0.86065,                0.58091,                0.36853,                0.88452,               0.000812,               0.000812,               0.000812
                     92,                0.54377,                 0.4063,                0.91822,                0.99657,                      1,                  0.995,                0.90055,                0.53358,                  0.367,                0.86887,              0.0007988,              0.0007988,              0.0007988
                     93,                 0.5371,                0.37804,                0.91689,                0.99659,                      1,                  0.995,                0.91102,                0.50818,                0.33915,                0.86571,              0.0007856,              0.0007856,              0.0007856
                     94,                0.50369,                0.36818,                0.89162,                0.99641,                      1,                  0.995,                0.87856,                0.52409,                 0.3742,                0.88174,              0.0007724,              0.0007724,              0.0007724
                     95,                0.52418,                0.40588,                0.91012,                0.99543,                      1,                  0.995,                0.91074,                0.45404,                0.35167,                0.86389,              0.0007592,              0.0007592,              0.0007592
                     96,                0.50198,                0.37937,                0.91177,                0.99421,                      1,                  0.995,                0.88525,                0.47395,                0.34812,                0.86429,               0.000746,               0.000746,               0.000746
                     97,                0.47412,                0.36297,                0.87828,                0.99505,                      1,                  0.995,                0.90029,                0.52365,                0.35929,                0.87324,              0.0007328,              0.0007328,              0.0007328
                     98,                0.47847,                0.36198,                0.89052,                0.99551,                      1,                  0.995,                0.91803,                0.47865,                0.33347,                0.86879,              0.0007196,              0.0007196,              0.0007196
                     99,                0.50228,                0.36641,                0.88218,                0.98838,                      1,                  0.995,                0.91778,                0.46934,                0.34378,                0.86743,              0.0007064,              0.0007064,              0.0007064
                    100,                0.43714,                0.35466,                0.87195,                0.99666,                      1,                  0.995,                0.89502,                0.52424,                0.36099,                0.88507,              0.0006932,              0.0006932,              0.0006932
                    101,                0.46893,                0.35646,                0.89072,                0.99671,                      1,                  0.995,                0.90059,                0.54736,                0.36843,                0.87816,                0.00068,                0.00068,                0.00068
                    102,                0.46861,                 0.3612,                0.86756,                0.99657,                      1,                  0.995,                0.90478,                0.50257,                0.33948,                0.86906,              0.0006668,              0.0006668,              0.0006668
                    103,                0.46483,                0.34316,                0.89723,                0.99659,                      1,                  0.995,                0.89732,                0.55297,                 0.3363,                0.89092,              0.0006536,              0.0006536,              0.0006536
                    104,                0.47282,                0.37244,                0.87283,                0.99667,                      1,                  0.995,                0.87797,                0.57682,                 0.3554,                0.89988,              0.0006404,              0.0006404,              0.0006404
                    105,                0.45953,                 0.3451,                0.88011,                0.99629,                      1,                  0.995,                0.89124,                0.54171,                0.34448,                0.88892,              0.0006272,              0.0006272,              0.0006272
                    106,                0.48415,                0.35396,                0.89278,                0.99584,                      1,                  0.995,                0.91339,                0.53697,                0.34284,                0.89508,               0.000614,               0.000614,               0.000614
                    107,                0.48288,                0.35861,                0.91339,                0.99547,                      1,                  0.995,                0.89817,                0.53031,                0.34537,                0.88675,              0.0006008,              0.0006008,              0.0006008
                    108,                0.42672,                0.33833,                0.88657,                0.99609,                      1,                  0.995,                0.90247,                0.50847,                0.34141,                0.87644,              0.0005876,              0.0005876,              0.0005876
                    109,                0.45165,                0.34289,                0.87818,                 0.9966,                      1,                  0.995,                0.90249,                0.47369,                0.32618,                0.86137,              0.0005744,              0.0005744,              0.0005744
                    110,                0.45257,                0.33148,                0.88645,                0.99677,                      1,                  0.995,                0.92251,                0.43471,                0.30282,                 0.8498,              0.0005612,              0.0005612,              0.0005612
                    111,                0.42862,                0.34549,                0.88713,                0.99679,                      1,                  0.995,                0.91822,                0.45213,                0.29944,                0.84797,               0.000548,               0.000548,               0.000548
                    112,                0.45906,                0.33756,                0.87715,                0.99659,                      1,                  0.995,                0.91264,                0.48528,                 0.3164,                0.85732,              0.0005348,              0.0005348,              0.0005348
                    113,                0.44903,                0.33631,                0.86995,                0.99671,                      1,                  0.995,                0.93135,                0.46602,                0.31913,                0.85294,              0.0005216,              0.0005216,              0.0005216
                    114,                0.44816,                0.34181,                0.88241,                0.99669,                      1,                  0.995,                0.92657,                0.43398,                0.30829,                0.84714,              0.0005084,              0.0005084,              0.0005084
                    115,                0.45343,                0.34585,                0.86959,                0.99654,                      1,                  0.995,                0.93845,                0.43143,                 0.3043,                0.85201,              0.0004952,              0.0004952,              0.0004952
                    116,                0.43383,                 0.3387,                0.88089,                0.99654,                      1,                  0.995,                0.93474,                0.41585,                0.29701,                0.85126,               0.000482,               0.000482,               0.000482
                    117,                 0.4184,                0.33545,                0.85433,                0.99653,                      1,                  0.995,                0.94552,                0.40438,                 0.3006,                0.84916,              0.0004688,              0.0004688,              0.0004688
                    118,                0.43953,                0.32652,                0.87238,                0.99656,                      1,                  0.995,                0.93601,                0.40823,                0.29977,                0.84507,              0.0004556,              0.0004556,              0.0004556
                    119,                0.41951,                0.33327,                0.84993,                0.99671,                      1,                  0.995,                0.92602,                0.42957,                0.30421,                0.84661,              0.0004424,              0.0004424,              0.0004424
                    120,                 0.4169,                0.32741,                0.87502,                0.99677,                      1,                  0.995,                0.93037,                0.44733,                0.32174,                 0.8515,              0.0004292,              0.0004292,              0.0004292
                    121,                0.41303,                0.32491,                0.88034,                0.99674,                      1,                  0.995,                0.92428,                0.43563,                0.32029,                0.84866,               0.000416,               0.000416,               0.000416
                    122,                 0.4216,                0.31489,                0.86147,                0.99666,                      1,                  0.995,                0.93908,                0.41069,                0.28771,                0.84456,              0.0004028,              0.0004028,              0.0004028
                    123,                0.45792,                0.33635,                0.90117,                0.99662,                      1,                  0.995,                0.93228,                0.40653,                0.28397,                0.84357,              0.0003896,              0.0003896,              0.0003896
                    124,                0.40937,                0.30698,                0.86668,                0.99669,                      1,                  0.995,                 0.9402,                0.41043,                0.26941,                0.84412,              0.0003764,              0.0003764,              0.0003764
                    125,                0.41118,                0.31634,                0.86356,                0.99672,                      1,                  0.995,                0.95204,                 0.3922,                0.26429,                0.83594,              0.0003632,              0.0003632,              0.0003632
                    126,                0.42491,                0.32253,                0.86214,                 0.9967,                      1,                  0.995,                0.93076,                0.41386,                0.28324,                0.83785,                0.00035,                0.00035,                0.00035
                    127,                0.41532,                0.32546,                0.85781,                0.99666,                      1,                  0.995,                0.92803,                0.41742,                0.28148,                0.84048,              0.0003368,              0.0003368,              0.0003368
                    128,                0.38488,                0.30158,                0.84791,                0.99665,                      1,                  0.995,                0.93595,                0.40883,                0.26892,                0.84626,              0.0003236,              0.0003236,              0.0003236
                    129,                0.41839,                0.32146,                0.86399,                0.99666,                      1,                  0.995,                0.92481,                0.41383,                0.26404,                0.84322,              0.0003104,              0.0003104,              0.0003104
                    130,                0.38561,                0.29884,                0.85643,                0.99674,                      1,                  0.995,                0.92547,                0.42417,                0.24966,                 0.8432,              0.0002972,              0.0002972,              0.0002972
                    131,                0.41374,                0.31471,                0.87696,                0.99672,                      1,                  0.995,                0.92775,                0.41839,                0.24741,                0.84345,               0.000284,               0.000284,               0.000284
                    132,                0.39654,                0.29777,                0.85955,                0.99676,                      1,                  0.995,                0.93504,                0.42472,                0.25841,                0.84625,              0.0002708,              0.0002708,              0.0002708
                    133,                0.39523,                0.31905,                0.83723,                0.99674,                      1,                  0.995,                0.93616,                0.41552,                0.25414,                0.84492,              0.0002576,              0.0002576,              0.0002576
                    134,                0.38338,                 0.2918,                0.86424,                0.99685,                      1,                  0.995,                0.92753,                0.40519,                0.24828,                0.84483,              0.0002444,              0.0002444,              0.0002444
                    135,                0.38699,                0.29885,                0.85457,                0.99681,                      1,                  0.995,                0.94153,                0.39691,                0.25052,                0.84417,              0.0002312,              0.0002312,              0.0002312
                    136,                0.38377,                0.30379,                0.87367,                0.99678,                      1,                  0.995,                0.94041,                0.37294,                0.24312,                0.84235,               0.000218,               0.000218,               0.000218
                    137,                0.42256,                0.30992,                0.88775,                0.99677,                      1,                  0.995,                0.94982,                0.36505,                 0.2458,                0.84207,              0.0002048,              0.0002048,              0.0002048
                    138,                0.36414,                0.28292,                0.86337,                0.99675,                      1,                  0.995,                0.94298,                0.35972,                0.24449,                0.84114,              0.0001916,              0.0001916,              0.0001916
                    139,                0.39299,                0.29899,                0.87077,                0.99677,                      1,                  0.995,                0.94222,                0.35706,                0.23903,                0.84079,              0.0001784,              0.0001784,              0.0001784
                    140,                0.35964,                0.28513,                0.84774,                0.99679,                      1,                  0.995,                0.94357,                0.36552,                0.24284,                0.84161,              0.0001652,              0.0001652,              0.0001652
                    141,                0.32906,                0.25242,                0.79652,                0.99679,                      1,                  0.995,                0.94711,                0.36796,                 0.2463,                0.84238,               0.000152,               0.000152,               0.000152
                    142,                0.30067,                0.24336,                0.79423,                0.99675,                      1,                  0.995,                0.94509,                 0.3706,                0.24664,                0.84245,              0.0001388,              0.0001388,              0.0001388
                    143,                0.33744,                0.26204,                0.82226,                0.99677,                      1,                  0.995,                0.94604,                0.37474,                0.24749,                0.84402,              0.0001256,              0.0001256,              0.0001256
                    144,                0.29858,                0.24625,                0.79452,                0.99676,                      1,                  0.995,                0.93942,                0.38547,                0.24653,                0.84634,              0.0001124,              0.0001124,              0.0001124
                    145,                0.30207,                0.24153,                0.79663,                0.99673,                      1,                  0.995,                0.94884,                0.39907,                0.24985,                0.84577,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                 0.2934,                0.23434,                0.77832,                0.99673,                      1,                  0.995,                0.93994,                0.40447,                0.25624,                0.84495,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.30306,                0.23423,                0.79941,                0.99672,                      1,                  0.995,                0.94721,                0.40045,                0.25349,                0.84367,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.30341,                0.23542,                0.80493,                0.99678,                      1,                  0.995,                0.94688,                0.39475,                0.24951,                0.84123,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                 0.2983,                0.23183,                0.80604,                0.99678,                      1,                  0.995,                0.94688,                0.39082,                0.24739,                0.84082,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.27271,                0.22858,                0.79958,                0.99677,                      1,                  0.995,                0.95464,                0.38558,                0.24377,                0.83996,               3.32e-05,               3.32e-05,               3.32e-05
